"imageID","range0","range1","range2","range3","range4","range5","range6","range7","range8","range9","range10","range11","range12","range13","range14","range15","range16","range17","range18","range19","range20","range21","range22","range23","range24","range25","range26","range27","range28","range29","range30","range31","range32","range33","range34","range35","range36","range37","range38","range39","range40","range41","range42","range43","range44","range45","range46","range47","range48","range49","range50","range51","range52","range53","range54","range55","range56","range57","range58","range59","range60","range61","range62","range63","grayscale","contrast","Style"
193,0,0.185616766467066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0986826347305389,0,0.314287425149701,0,0,0,0,0.246934131736527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154479041916168,128.3668,164.768,"Cat2"
194,0.375132716049383,0.28458950617284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178898148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103546296296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578333333333333,117.1162,191.053,"Cat12"
198,0.121570008285004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24529826014913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259297845898923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134415907207954,141.4948,189.292,"Cat8"
201,0.190652277039848,0.210320208728653,0,0,0,0,0.216351992409867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201171726755218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181503795066414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.8338,174.349,"Cat12"
205,0.108975903614458,0,0,0,0,0,0.215668674698795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226843373493976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161228915662651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28728313253012,132.3266,189.825,"Cat12"
212,0.168093394289979,0.237427691733532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244594373950364,0,0,0,0.248198124650121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101686415376003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.4224,178.403,"Cat4"
214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254792699077239,0.155010439806904,0,0,0,0,0,0.164775397300068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139422486436261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285998977379528,152.0488,158.187,"Cat7"
218,0,0,0,0,0,0.0509466486902928,0,0,0,0,0.114428929121726,0,0,0,0,0.135227272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32188655624037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377510593220339,168.8364,146.302,"Cat7"
220,0.0475743006993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0662969842657343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220023856351981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426862980769231,156.738,179.78,"Cat10"
222,0.143917525773196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697349042709867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225914580265096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22559646539028,143.2258,181.63,"Cat13"
229,0.143455280951959,0,0.0514069743408037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153246523164142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362523990905601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289367230637494,120.6134,192.536,"Cat3"
246,0.0316361111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0652236111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165808333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440663888888889,162.2674,191.95,"Cat10"
